number,value,datetime_start,datetime_complete,duration,params_base_score,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8423571933345176,2025-12-27 19:01:45.897911,2025-12-27 19:02:48.273772,0 days 00:01:02.375861,0.1201975341512912,0.6835246582352076,0.004619347374377372,0.026975154833351143,0,6,1,0.6245760287469893,0.002570603566117598,0.9757071488588757,COMPLETE
1,0.8426839684266273,2025-12-27 19:02:48.276271,2025-12-27 19:03:52.431804,0 days 00:01:04.155533,0.13253202943404524,0.5100864022049432,2.1371407316372935e-06,0.033994812107955644,0,5,4,0.00052821153945323,7.71800699380605e-05,0.9812738571269783,COMPLETE
2,0.8422973801407057,2025-12-27 19:03:52.432807,2025-12-27 19:08:08.155729,0 days 00:04:15.722922,0.40332918262685613,0.7998079184139659,2.3528990899815284e-08,0.009797486029339582,1,5,2,0.00042472707398058225,0.0021465011216654484,0.740453219589092,COMPLETE
3,0.8412893573224636,2025-12-27 19:08:08.161102,2025-12-27 19:11:59.615237,0 days 00:03:51.454135,0.4137788066524075,0.7976969774317049,3.320625892007924e-05,0.005807932994623226,3,8,4,7.569183361880229e-08,0.014391207615728067,0.7494519958693145,COMPLETE
4,0.8413691813296506,2025-12-27 19:11:59.615237,2025-12-27 19:18:53.381675,0 days 00:06:53.766438,0.3481350279592919,0.5597987350739416,3.0118659882617117e-07,0.00541200919075048,1,8,4,0.0004793052550782129,0.0008325158565947976,0.8436013039322683,COMPLETE
5,0.8402719371157371,2025-12-27 19:18:53.383941,2025-12-27 19:20:41.713401,0 days 00:01:48.329460,0.46484340576040256,0.9750964676046336,4.005370050283172e-06,0.0434979656425666,2,8,1,5.805581976088804e-07,2.5529693461039728e-08,0.9247885187747232,COMPLETE
6,0.8424446633046185,2025-12-27 19:20:41.715802,2025-12-27 19:22:24.827530,0 days 00:01:43.111728,0.2942132374212118,0.6904518719478462,0.7854083114461319,0.03370602305351379,1,5,2,0.16587190283399655,4.6876566400928895e-08,0.7786912192144297,COMPLETE
7,0.8419842962175903,2025-12-27 19:22:24.830031,2025-12-27 19:25:44.753476,0 days 00:03:19.923445,0.3780532256184443,0.8783999369553621,8.451863533931625e-08,0.005063981628665743,2,8,8,4.638759594322625e-08,1.683416412018213e-05,0.7576275476449099,COMPLETE
8,0.8418910079078114,2025-12-27 19:25:44.755478,2025-12-27 19:29:16.169475,0 days 00:03:31.413997,0.1963324949120362,0.9229206786790408,5.994036749692399e-05,0.010711937478224529,1,4,8,0.005470376807480391,0.9658611176861268,0.8807564567799918,COMPLETE
9,0.8429117682856576,2025-12-27 19:29:16.170978,2025-12-27 19:31:29.341359,0 days 00:02:13.170381,0.27220801836397585,0.5586011805097678,7.296782748701773e-08,0.028824053350573343,3,6,6,7.04480806377519e-05,1.6934490731313353e-08,0.9068409882946685,COMPLETE
10,0.8427860991203595,2025-12-27 19:31:29.345420,2025-12-27 19:34:09.053924,0 days 00:02:39.708504,0.22665589166828182,0.6017332323945437,0.0022247119512494567,0.02035758049690421,3,7,10,3.9951522674461425e-06,8.461069486866635e-07,0.8372649232218539,COMPLETE
11,0.8426414835430526,2025-12-27 19:34:09.055917,2025-12-27 19:36:58.426145,0 days 00:02:49.370228,0.22696062594259203,0.590302405825436,0.004725374268475381,0.019699492202578387,3,7,10,4.491067917060829e-06,8.760408671808586e-07,0.827585269313202,COMPLETE
12,0.8430032745686893,2025-12-27 19:36:58.429348,2025-12-27 19:39:57.250998,0 days 00:02:58.821650,0.2752183122472379,0.6263967829900724,0.0021775336942768068,0.01751963267966075,3,6,7,1.2167282577786447e-05,1.2837505673058488e-06,0.8999656143249861,COMPLETE
13,0.842411414375659,2025-12-27 19:39:57.252993,2025-12-27 19:42:20.682573,0 days 00:02:23.429580,0.30524121130861714,0.6861042621342767,0.10887079990349831,0.012858459671226027,2,6,7,1.4001135043691035e-05,5.960361308700738e-07,0.9083569951572065,COMPLETE
